month,Stock,total,TESLA,JNJ,JPM,DIS,AAPL,MSFT,INTC,GS,COCA-COLA,MCD
11,16-Nov,310,198,115,69,93,113,60,35,179,42,113
12,16-Dec,280,188,111,81,99,110,60,35,221,40,119
1,17-Jan,264,215,116,87,105,116,63,37,243,42,122
2,17-Feb,261,253,112,86,111,127,64,37,231,42,122
3,17-Mar,289,254,122,93,111,138,64,36,254,42,128
4,17-Apr,228,287,125,88,113,144,66,36,230,43,130
5,17-May,271,315,123,87,116,145,69,36,225,43,140
6,17-Jun,303,344,128,82,108,153,70,36,213,45,151
7,17-Jul,233,370,133,92,107,145,69,34,224,45,153
8,17-Aug,263,323,133,92,110,149,73,36,227,46,155
9,17-Sep,249,356,133,91,102,165,75,35,225,46,160
10,17-Oct,215,343,130,96,99,154,75,38,237,45,156
